City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Port Alfred,ZA,-33.5906,26.891,56.17,73,52,7.0,broken clouds
79,Bentiu,SS,9.2333,29.8333,83.91,44,5,5.17,clear sky
80,Buchanan,LR,5.8808,-10.0467,76.06,90,100,6.17,overcast clouds
81,Barrow,US,71.2906,-156.7887,-5.78,77,75,13.8,broken clouds
82,Rikitea,PF,-23.1203,-134.9692,78.57,66,1,11.92,clear sky
83,Ciudad Bolivar,VE,8.1222,-63.5497,80.42,43,6,12.62,clear sky
84,Albany,US,42.6001,-73.9662,50.04,74,100,1.99,overcast clouds
85,Yuanli,TW,24.4397,120.6535,84.24,73,75,16.11,broken clouds
86,New Norfolk,AU,-42.7826,147.0587,66.88,46,0,1.01,clear sky
87,Hithadhoo,MV,-0.6,73.0833,82.29,66,1,0.87,clear sky
88,San-Pedro,CI,4.7485,-6.6363,77.36,91,100,4.05,overcast clouds
89,Soyo,AO,-6.1349,12.3689,77.38,87,100,8.88,overcast clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,77.52,88,86,6.98,light rain
91,Kapit,MY,2.0167,112.9333,88.36,57,97,1.68,overcast clouds
92,Provideniya,RU,64.3833,-173.3,-1.64,71,0,20.13,clear sky
93,Nenjiang,CN,49.1833,125.2167,34.99,41,4,12.93,clear sky
94,Upernavik,GL,72.7868,-56.1549,-9.0,100,97,6.53,overcast clouds
95,Bereda,ES,43.2686,-7.5406,48.15,84,98,9.93,overcast clouds
96,Gat,IL,31.61,34.7642,62.4,100,63,7.05,broken clouds
97,Blythe,US,33.6103,-114.5964,79.03,8,0,9.69,clear sky
98,Jibuti,DJ,11.5,42.5,71.65,77,27,12.71,scattered clouds
99,Paamiut,GL,61.994,-49.6678,30.33,89,96,12.33,overcast clouds
100,Port Said,EG,31.2565,32.2841,64.98,72,79,5.73,broken clouds
101,Severnyy,RU,50.677,36.5532,44.64,65,0,8.95,clear sky
102,Gombe,NG,10.2897,11.1673,76.59,65,41,7.49,scattered clouds
103,Launceston,AU,-41.45,147.1667,72.61,40,0,9.22,clear sky
104,Honningsvag,NO,70.9821,25.9704,33.55,80,75,25.32,light snow
105,Bambous Virieux,MU,-20.3428,57.7575,79.21,73,40,5.75,scattered clouds
106,Smoky Lake,CA,54.1169,-112.4686,31.84,86,4,1.97,clear sky
107,Ilulissat,GL,69.2167,-51.1,21.22,86,75,11.5,light snow
108,Broome,US,42.2506,-75.833,51.37,75,100,18.41,light rain
109,Havoysund,NO,70.9963,24.6622,34.03,82,99,23.8,light snow
110,Terra Santa,BR,-2.1042,-56.4869,74.28,97,100,2.59,overcast clouds
111,Pasil,PH,17.3833,121.1333,73.81,77,97,4.79,overcast clouds
