City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Qurbus,TN,36.8167,10.5687,68.04,61,0,17.52,clear sky
93,Srednekolymsk,RU,67.45,153.6833,-14.57,99,22,6.82,few clouds
94,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.06,64,96,6.82,overcast clouds
95,Yellowknife,CA,62.456,-114.3525,31.41,72,75,5.75,broken clouds
96,Yulara,AU,-25.2406,130.9889,67.84,34,0,6.91,clear sky
97,Hermanus,ZA,-34.4187,19.2345,59.81,69,22,10.94,few clouds
98,Tacuarembo,UY,-31.7333,-55.9833,72.46,63,100,4.54,overcast clouds
99,Batagay,RU,67.6333,134.6333,-4.77,99,98,0.2,overcast clouds
100,Pisco,PE,-13.7,-76.2167,70.02,78,0,8.05,mist
101,Bac Lieu,VN,9.285,105.7244,80.37,77,100,12.03,overcast clouds
102,Tuatapere,NZ,-46.1333,167.6833,51.03,77,80,9.48,broken clouds
103,Lebu,CL,-37.6167,-73.65,61.56,84,46,5.61,scattered clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,20,11.5,few clouds
105,Rincon,US,32.296,-81.2354,82.85,65,75,12.66,broken clouds
106,Ahipara,NZ,-35.1667,173.1667,58.51,81,10,6.04,clear sky
107,Terekli-Mekteb,RU,44.1671,45.8698,51.84,55,100,16.26,overcast clouds
108,Damphu,BT,27.0721,90.1096,63.73,90,42,3.83,scattered clouds
109,Avarua,CK,-21.2078,-159.775,78.85,89,20,8.05,few clouds
110,Maraa,BR,-1.8333,-65.3667,84.43,77,45,3.67,scattered clouds
111,Port Elizabeth,ZA,-33.918,25.5701,61.09,71,0,18.41,clear sky
112,Salalah,OM,17.0151,54.0924,79.61,62,12,0.89,few clouds
113,New Norfolk,AU,-42.7826,147.0587,50.72,75,14,2.77,few clouds
114,Ostrovnoy,RU,68.0531,39.5131,20.59,86,51,10.38,broken clouds
115,Bemidji,US,47.4736,-94.8803,31.05,85,100,20.71,overcast clouds
116,Izhma,RU,65.0083,53.9113,14.27,96,100,4.65,overcast clouds
117,Peruibe,BR,-24.32,-46.9983,77.7,69,58,5.68,broken clouds
118,Abonnema,NG,4.7084,6.7931,91.69,62,89,11.14,overcast clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,62.62,88,75,12.66,broken clouds
120,Reserva,BR,-24.6503,-50.8506,76.15,74,91,2.15,overcast clouds
121,Taoudenni,ML,22.6783,-3.9836,97.14,7,5,11.18,clear sky
122,Maryville,US,35.7565,-83.9705,66.18,48,1,7.0,clear sky
123,Nuristan,AF,35.3,70.8333,32.97,54,53,10.58,broken clouds
124,Kendari,ID,-3.945,122.4989,75.09,90,100,4.68,overcast clouds
125,Kapaa,US,22.0752,-159.319,73.11,83,34,3.0,scattered clouds
126,Takoradi,GH,4.8845,-1.7554,85.15,71,83,14.03,broken clouds
127,San Antonio,US,29.4241,-98.4936,74.89,17,0,11.5,clear sky
128,Opuwo,NA,-18.0607,13.84,79.18,35,1,3.87,clear sky
129,Porto Nacional,BR,-10.7081,-48.4172,87.8,51,59,3.31,broken clouds
130,Mikkeli,FI,61.6886,27.2723,32.11,86,100,6.91,overcast clouds
131,Namibe,AO,-15.1961,12.1522,72.32,75,5,12.91,clear sky
132,Bokoro,TD,12.3807,17.0568,102.29,9,95,9.13,overcast clouds
133,Umm Kaddadah,SD,13.6017,26.6876,90.55,9,0,12.35,clear sky
134,Irbeyskoye,RU,55.6428,95.4522,33.44,83,71,10.85,broken clouds
135,Faya,SA,18.3851,42.4509,73.51,24,0,1.99,clear sky
136,San Ramon,US,37.7799,-121.978,74.19,44,66,3.0,broken clouds
137,Sitka,US,57.0531,-135.33,42.69,70,100,13.8,overcast clouds
138,Pevek,RU,69.7008,170.3133,-3.37,98,100,7.18,overcast clouds
139,Llandrindod Wells,GB,52.2416,-3.3787,46.38,69,20,21.61,few clouds
140,Bairiki,KI,1.3292,172.9752,80.6,83,20,9.22,few clouds
141,Ayr,GB,55.4627,-4.6339,46.38,61,40,24.16,scattered clouds
142,Yeniseysk,RU,58.4497,92.1703,30.07,85,53,10.38,broken clouds
143,Yanam,IN,16.7333,82.2167,77.05,92,14,1.25,few clouds
144,Saldanha,ZA,-33.0117,17.9442,64.45,68,52,24.9,broken clouds
145,Qaanaaq,GL,77.484,-69.3632,-0.08,80,32,5.86,scattered clouds
146,Vanavara,RU,60.34,102.2797,26.2,87,100,10.18,overcast clouds
147,Provideniya,RU,64.3833,-173.3,-7.47,93,91,2.3,overcast clouds
148,Mildura,AU,-34.2,142.15,61.07,67,14,5.75,few clouds
149,Chokurdakh,RU,70.6333,147.9167,-21.62,91,60,4.88,broken clouds
150,Bilma,NE,18.6853,12.9164,98.91,5,4,8.28,clear sky
151,Balaguer,ES,41.7912,0.8109,74.35,29,37,14.83,scattered clouds
152,Khandyga,RU,62.6667,135.6,12.33,97,100,1.5,overcast clouds
153,Emmett,US,43.8735,-116.4993,55.36,38,10,1.01,clear sky
154,Remedios,CU,22.4947,-79.5458,87.19,56,32,10.92,scattered clouds
155,Aswan,EG,24.0934,32.907,105.1,6,1,16.11,clear sky
156,Richards Bay,ZA,-28.783,32.0377,68.43,76,100,9.73,light rain
157,Kailua,US,21.4022,-157.7394,74.14,75,29,7.0,scattered clouds
158,Coari,BR,-4.085,-63.1414,90.05,54,59,2.91,broken clouds
159,Chuy,UY,-33.6971,-53.4616,76.46,42,100,4.63,overcast clouds
160,Esna,EG,25.2934,32.554,102.22,9,5,9.51,clear sky
161,Santa Cruz Del Sur,CU,20.7147,-77.9956,85.93,57,7,10.45,clear sky
162,Zabaykalsk,RU,49.6333,117.3167,49.41,52,100,25.81,overcast clouds
163,Turayf,SA,31.6725,38.6637,79.05,25,0,11.5,clear sky
164,Norman Wells,CA,65.282,-126.8329,14.04,67,0,6.91,clear sky
165,Kashi,CN,39.4547,75.9797,70.81,17,47,11.18,scattered clouds
166,Rawson,AR,-43.3002,-65.1023,57.2,77,100,17.74,overcast clouds
167,Gimli,CA,50.6336,-96.9907,32.02,59,98,24.16,overcast clouds
168,Nantucket,US,41.2835,-70.0995,55.51,80,100,20.98,overcast clouds
169,Iquique,CL,-20.2208,-70.1431,68.04,65,8,6.22,clear sky
170,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,92.59,30,42,6.06,scattered clouds
171,Airai,TL,-8.9266,125.4092,59.25,91,94,2.01,moderate rain
172,Port Macquarie,AU,-31.4333,152.9167,66.88,84,56,9.69,broken clouds
173,Faanui,PF,-16.4833,-151.75,82.78,70,30,19.69,scattered clouds
174,Kozani,GR,40.3011,21.7864,56.16,82,83,3.44,broken clouds
175,Abu Ghosh,IL,31.8059,35.1093,73.62,31,82,1.99,broken clouds
176,Zaranj,AF,30.9667,61.8833,82.36,8,54,6.87,broken clouds
177,Vientiane,LA,17.9667,102.6,85.03,99,83,7.9,broken clouds
178,Polis,CY,35.0367,32.4264,68.29,58,44,8.52,scattered clouds
179,Beeville,US,28.4008,-97.7483,75.61,9,0,13.8,clear sky
180,Padang,ID,-0.9492,100.3543,77.86,74,100,3.13,overcast clouds
181,Flinders,AU,-34.5833,150.8552,67.37,83,98,4.0,light rain
182,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,35.94,96,100,12.28,light rain
183,Lagoa,PT,39.05,-27.9833,60.33,88,100,19.95,overcast clouds
184,Victoria,HK,22.2855,114.1577,73.96,52,1,13.0,clear sky
185,Kilosa,TZ,-6.8333,36.9833,73.15,79,16,2.13,few clouds
186,Benin,BJ,9.5,2.25,99.27,25,81,4.38,broken clouds
187,Iqaluit,CA,63.7506,-68.5145,17.33,61,75,3.44,broken clouds
188,Haimen,CN,23.1935,116.6142,66.09,64,35,13.91,scattered clouds
189,Lasem,ID,-6.6922,111.4527,76.3,90,100,5.39,light rain
190,Luganville,VU,-15.5333,167.1667,77.68,85,100,5.7,overcast clouds
191,Dalbandin,PK,28.8947,64.4101,83.84,10,0,4.59,clear sky
192,San Pedro,PH,14.35,121.0167,79.83,79,75,3.44,broken clouds
193,Santa Flavia,IT,38.085,13.5351,62.38,56,0,18.01,clear sky
194,Yenagoa,NG,4.9247,6.2642,87.06,62,86,8.97,overcast clouds
195,Tongren,CN,27.7172,109.1853,64.13,57,0,2.93,clear sky
196,Hasaki,JP,35.7333,140.8333,50.4,83,9,8.79,clear sky
197,West Bay,KY,19.3667,-81.4167,86.07,71,75,10.36,broken clouds
198,Januaria,BR,-15.4833,-44.3667,88.38,40,51,5.3,broken clouds
199,Sabang,ID,5.8933,95.3214,82.63,72,76,7.23,broken clouds
200,Nikolskoye,RU,59.7035,30.7861,41.88,99,100,8.14,light rain
201,Jiaonan,CN,35.8786,119.9753,49.24,87,2,6.17,clear sky
202,Joensuu,FI,62.6012,29.7632,32.49,85,100,8.05,light snow
203,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,11.5,light rain
204,Zarubino,RU,42.63,131.0922,34.38,60,31,4.83,scattered clouds
205,Gweta,BW,-20.1833,25.2333,87.19,25,43,9.91,scattered clouds
206,Hamilton,US,39.1834,-84.5333,54.59,58,21,4.0,few clouds
207,Gonaives,HT,19.45,-72.6833,88.77,50,26,9.89,scattered clouds
208,Port Hedland,AU,-20.3167,118.5667,80.65,83,40,5.75,scattered clouds
209,Narsaq,GL,60.9167,-46.05,32.86,72,98,4.34,overcast clouds
210,Kirakira,SB,-10.4544,161.9205,80.53,83,100,7.78,overcast clouds
211,Laurel,US,39.0993,-76.8483,53.11,97,100,8.05,light intensity drizzle
212,Alandur,IN,13.0025,80.2061,85.95,79,20,6.91,few clouds
213,Aykhal,RU,66.0,111.5,11.53,97,100,6.26,overcast clouds
214,Fortuna,US,40.5982,-124.1573,58.12,72,0,4.61,clear sky
215,Muncar,ID,-8.4333,114.3333,75.85,91,94,3.38,overcast clouds
216,Bandarbeyla,SO,9.4942,50.8122,80.69,74,19,8.86,few clouds
217,Deep River,CA,46.1001,-77.4995,46.44,93,100,4.59,overcast clouds
218,Lianran,CN,24.9227,102.485,52.34,60,10,1.77,clear sky
219,Vardo,NO,70.3705,31.1107,33.78,93,75,25.32,broken clouds
220,Lavrentiya,RU,65.5833,-171.0,-11.78,96,100,6.33,overcast clouds
221,Ilhabela,BR,-23.7781,-45.3581,76.1,75,65,4.03,broken clouds
222,Tralee,IE,52.2704,-9.7026,46.65,66,40,6.91,scattered clouds
223,Walvis Bay,NA,-22.9575,14.5053,70.75,56,0,6.91,clear sky
224,Cabo San Lucas,MX,22.8909,-109.9124,82.62,64,18,5.99,few clouds
225,Kavieng,PG,-2.5744,150.7967,80.26,80,100,3.87,moderate rain
226,Okulovka,RU,58.4008,33.2908,39.9,99,100,7.14,overcast clouds
227,Maldonado,UY,-34.6667,-54.9167,76.39,42,89,6.8,light rain
228,Itarema,BR,-2.9248,-39.9167,83.32,74,85,13.4,overcast clouds
229,Kannangad,IN,12.3081,75.1063,82.06,82,41,5.93,scattered clouds
230,Laguna,US,38.421,-121.4238,79.97,48,0,1.01,clear sky
231,Lorengau,PG,-2.0226,147.2712,80.71,84,98,16.91,overcast clouds
232,Olga,RU,43.7444,135.2892,29.88,86,9,4.81,clear sky
233,Nemuro,JP,43.3236,145.575,32.18,99,100,11.7,snow
234,Humberto De Campos,BR,-2.5983,-43.4611,78.84,87,97,4.74,overcast clouds
235,Russell,US,32.3502,-85.1999,69.06,42,52,11.23,broken clouds
236,Beringovskiy,RU,63.05,179.3167,-10.62,90,72,5.75,broken clouds
237,Aklavik,CA,68.2191,-135.0107,19.4,95,100,9.73,overcast clouds
238,Mushie,CD,-3.0167,16.9,80.15,68,64,2.8,broken clouds
239,Teguldet,RU,57.3064,88.1667,32.04,93,58,8.95,broken clouds
240,Tiarei,PF,-17.5333,-149.3333,77.0,75,19,20.96,few clouds
241,Rabat,MA,33.9911,-6.8401,62.67,72,40,12.66,scattered clouds
242,Severo-Kurilsk,RU,50.6789,156.125,28.42,84,100,7.7,overcast clouds
243,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.31,99,100,4.59,light snow
244,Longfeng,CN,46.55,125.1167,40.12,29,78,16.46,broken clouds
245,Sovetskaya Gavan,RU,48.9723,140.2878,28.96,71,100,7.36,overcast clouds
246,Coihaique,CL,-45.5752,-72.0662,47.75,90,98,1.7,overcast clouds
247,Tynset,NO,62.2759,10.7824,29.82,81,100,4.16,overcast clouds
248,Hambantota,LK,6.1241,81.1185,79.81,80,95,3.74,overcast clouds
249,Kauhajoki,FI,62.4333,22.1833,37.38,83,98,4.79,overcast clouds
250,Salinas,US,36.6777,-121.6555,81.72,50,10,4.72,clear sky
251,Smidovich,RU,48.6,133.8167,19.71,90,50,5.64,scattered clouds
252,Les Cayes,HT,18.2,-73.75,82.04,68,80,13.87,broken clouds
253,Bandarban,BD,22.1965,92.2262,76.6,73,45,1.1,scattered clouds
254,Caravelas,BR,-17.7125,-39.2481,81.23,78,36,4.65,scattered clouds
255,Maragogi,BR,-9.0122,-35.2225,83.53,69,48,8.95,scattered clouds
256,Carballo,ES,43.213,-8.691,57.42,90,100,13.53,overcast clouds
257,Saskylakh,RU,71.9167,114.0833,-23.37,100,10,2.01,clear sky
258,Parabel,RU,58.6978,81.4825,28.18,91,43,8.05,scattered clouds
259,Lufilufi,WS,-13.8745,-171.5986,82.04,80,76,18.57,light rain
260,Lima,PE,-12.0432,-77.0282,72.43,73,77,9.51,broken clouds
261,Kawalu,ID,-7.3817,108.2082,71.82,96,98,1.95,overcast clouds
262,Waingapu,ID,-9.6567,120.2641,77.79,84,77,5.26,broken clouds
263,Cherskiy,RU,68.75,161.3,-24.23,100,62,2.66,broken clouds
264,Dikson,RU,73.5069,80.5464,2.17,98,100,9.82,overcast clouds
265,Nioro,GM,13.35,-15.75,108.81,9,99,9.48,overcast clouds
266,Manaure,CO,11.7751,-72.4445,89.19,51,96,19.82,overcast clouds
267,Antsohihy,MG,-14.8796,47.9875,76.66,91,80,1.39,light rain
268,Hami,CN,42.8,93.45,66.63,15,17,6.26,few clouds
269,Contamana,PE,-7.3333,-75.0167,90.28,53,95,1.97,overcast clouds
270,Alofi,NU,-19.0595,-169.9187,81.36,72,100,14.83,overcast clouds
271,Rio Grande,BR,-32.035,-52.0986,70.5,73,100,6.71,overcast clouds
272,Uribia,CO,11.7139,-72.266,91.53,44,99,22.95,overcast clouds
273,Ilulissat,GL,69.2167,-51.1,21.22,86,100,6.91,light shower snow
274,Ust-Koksa,RU,50.2696,85.6108,39.63,89,100,0.87,overcast clouds
275,Zaysan,KZ,47.4667,84.8667,55.99,47,92,1.03,overcast clouds
276,Nome,US,64.5011,-165.4064,-12.84,73,52,4.92,broken clouds
277,Conceicao Da Barra,BR,-18.5933,-39.7322,84.18,64,24,9.35,few clouds
278,Sola,VU,-13.8833,167.55,81.55,76,100,6.76,overcast clouds
279,Antofagasta,CL,-23.65,-70.4,67.28,64,11,6.73,few clouds
280,Edd,ER,13.9297,41.6925,87.04,48,0,19.51,clear sky
281,Camacha,PT,33.0833,-16.3333,62.02,63,40,5.75,scattered clouds
282,Am Timan,TD,11.0297,20.2827,99.52,18,44,2.93,scattered clouds
283,Berdigestyakh,RU,62.0989,126.6992,-3.12,100,78,3.06,broken clouds
284,Nurota,UZ,40.5614,65.6886,68.34,35,100,8.84,overcast clouds
285,Ancud,CL,-41.8697,-73.8203,58.23,87,100,5.3,overcast clouds
286,Usogorsk,RU,63.4106,48.6872,30.81,99,100,0.43,overcast clouds
287,Sambava,MG,-14.2667,50.1667,78.58,90,62,10.96,moderate rain
288,Iberia,US,29.9502,-91.7507,71.6,26,0,19.57,clear sky
289,At-Bashi,KG,41.1702,75.8106,48.88,47,100,1.36,overcast clouds
290,Zonguldak,TR,41.25,31.8333,51.98,97,92,6.04,light rain
291,Uray,RU,60.1247,64.7758,32.95,87,100,10.74,overcast clouds
292,Carlsbad,US,33.1581,-117.3506,92.1,26,0,3.0,clear sky
293,Santana Do Paraiso,BR,-19.3636,-42.5686,85.57,50,68,3.56,broken clouds
294,Caucaia,BR,-3.7361,-38.6531,82.04,80,91,10.2,overcast clouds
295,La Rioja,ES,42.25,-2.5,58.78,45,98,8.39,overcast clouds
296,Beipiao,CN,41.7919,120.7792,46.6,37,0,8.9,clear sky
297,Camana,PE,-16.6228,-72.7111,73.24,68,36,9.17,scattered clouds
298,Redmond,US,47.674,-122.1215,61.16,59,100,3.0,overcast clouds
299,Constantine,DZ,36.365,6.6147,63.81,39,20,9.22,few clouds
300,La Baneza,ES,42.3003,-5.8977,59.65,44,100,12.39,overcast clouds
301,Rudnichnyy,RU,59.617,52.4703,26.8,85,20,10.18,few clouds
302,Lucapa,AO,-8.4192,20.7447,71.73,87,85,2.21,overcast clouds
303,Olinda,BR,-8.0089,-34.8553,85.73,70,75,11.5,broken clouds
304,Klyuchi,RU,52.2667,79.1667,40.3,75,100,6.62,overcast clouds
305,Nouadhibou,MR,20.931,-17.0347,66.97,70,0,23.8,clear sky
306,Sao Pedro Do Sul,BR,-29.6206,-54.1789,67.28,96,100,2.24,overcast clouds
307,Delta,NG,5.5,6.0,85.14,69,87,9.44,overcast clouds
308,Orange Walk,BZ,17.8333,-88.8333,91.74,52,100,5.41,overcast clouds
309,Tomatlan,MX,19.9333,-105.25,85.35,47,100,5.88,overcast clouds
310,Guerrero Negro,MX,27.9769,-114.0611,75.58,39,0,4.29,clear sky
311,Kidal,ML,18.4411,1.4078,105.17,4,4,7.25,clear sky
312,Freeport,US,40.6576,-73.5832,50.77,84,100,14.97,mist
313,Cabra,ES,37.4725,-4.4421,62.98,52,0,6.02,clear sky
314,Tabas,IR,33.5959,56.9244,83.21,7,61,7.9,broken clouds
315,Kaeo,NZ,-35.1,173.7833,61.7,79,54,7.29,broken clouds
316,Santa Rosa,PH,14.3122,121.1114,80.11,79,97,7.0,overcast clouds
317,Meadow Lake,US,34.8014,-106.5436,55.42,14,0,10.13,clear sky
318,Ust-Maya,RU,60.4167,134.5333,6.84,94,67,3.65,broken clouds
319,Sur,OM,22.5667,59.5289,84.85,46,2,0.27,clear sky
320,Husavik,IS,66.0449,-17.3389,27.28,69,94,4.56,overcast clouds
321,Port Lincoln,AU,-34.7333,135.8667,60.17,89,49,8.39,scattered clouds
322,El Rosario,MX,24.2556,-107.1828,82.04,46,53,7.78,broken clouds
323,Abha,SA,18.2164,42.5053,66.45,30,0,6.91,clear sky
324,Payo,ID,-3.7508,103.6372,71.91,98,91,1.81,overcast clouds
325,Nova Olinda Do Norte,BR,-3.8881,-59.0942,87.06,67,82,2.95,broken clouds
326,Filadelfia,US,39.9523,-75.1638,49.21,95,100,17.27,mist
327,Jalu,LY,29.0331,21.5482,82.38,22,0,21.47,clear sky
328,Manvi,IN,15.9833,77.05,91.11,25,43,14.27,scattered clouds
329,Kerman,IR,30.2832,57.0788,75.02,9,43,6.02,scattered clouds
330,Kahta,TR,37.7855,38.6237,65.57,49,77,5.06,broken clouds
331,Banjar,ID,-8.19,114.9675,76.69,91,96,5.91,overcast clouds
332,Klaksvik,FO,62.2266,-6.589,36.52,76,100,34.29,overcast clouds
333,Koungou,YT,-12.7336,45.2042,82.11,78,0,6.91,clear sky
334,Peremyshlyany,UA,49.6652,24.5585,53.2,75,99,6.62,overcast clouds
335,Tamandare,BR,-8.7597,-35.1047,83.8,68,61,7.38,broken clouds
336,Trelew,AR,-43.249,-65.3051,57.97,73,100,17.11,overcast clouds
337,Loa Janan,ID,-0.583,117.095,73.4,98,89,2.04,overcast clouds
338,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,69,97,11.79,overcast clouds
339,Tocopilla,CL,-22.092,-70.1979,72.05,67,22,6.24,few clouds
340,Abaete,BR,-19.16,-45.4458,89.17,45,15,1.59,few clouds
341,Hofn,IS,64.2539,-15.2082,33.44,46,28,12.44,scattered clouds
342,Saint-Leu,RE,-21.15,55.2833,77.86,79,71,9.31,broken clouds
343,Saint-Pierre,RE,-21.3393,55.4781,78.48,79,20,11.5,few clouds
344,Aksarka,RU,66.5606,67.7975,2.97,94,100,8.32,overcast clouds
345,Chenghai,CN,23.4632,116.768,67.69,59,15,6.44,few clouds
346,Bowen,AU,-20.0167,148.2333,75.33,85,16,10.22,few clouds
347,Mega,ET,4.05,38.3,69.13,44,100,6.8,overcast clouds
